N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"71,700",500,-0.69%,100,"4,280,334","5,969,783",51.81,"8,317,631",15.10,9.99,
2,SK하이닉스,"96,800","1,100",-1.12%,"5,000","704,706","728,002",46.93,"1,051,462",12.11,9.53,
3,NAVER,"376,000","5,500",+1.48%,100,"617,630","164,263",56.57,"363,782",3.74,15.22,
4,삼성전자우,"65,900",300,-0.45%,100,"542,282","822,887",74.78,"819,513",13.88,N/A,
5,LG화학,"754,000","7,000",+0.94%,"5,000","532,266","70,592",46.57,"123,404",20.31,2.93,
6,삼성바이오로직스,"797,000","15,000",-1.85%,"2,500","527,335","66,165",10.54,"57,493",157.51,N/A,
7,카카오,"114,500","3,500",+3.15%,100,"509,516","444,992",30.23,"2,609,525",106.71,2.70,
8,삼성SDI,"678,000","2,000",-0.29%,"5,000","466,224","68,765",44.86,"160,721",50.23,4.54,
9,현대차,"194,500","1,000",+0.52%,"5,000","415,585","213,668",28.47,"376,811",14.09,2.04,
10,기아,"76,700","1,100",-1.41%,"5,000","310,914","405,363",34.38,"705,261",8.95,5.05,
11,셀트리온,"215,000","3,000",-1.38%,"1,000","296,560","137,935",20.53,"924,340",50.41,16.68,
12,POSCO,"318,000","4,000",-1.24%,"5,000","277,254","87,187",55.03,"128,343",7.19,3.61,
13,카카오뱅크,"58,000","2,000",-3.33%,"5,000","275,558","475,100",5.48,"1,118,134",187.70,5.08,
14,SK이노베이션,"260,500","4,500",-1.70%,"5,000","240,873","92,466",24.48,"261,925",-53.97,-13.58,
15,현대모비스,"252,000",500,+0.20%,"5,000","238,879","94,793",34.93,"123,172",10.81,4.66,
16,삼성물산,"122,500",500,+0.41%,100,"228,937","186,887",15.17,"149,674",13.97,3.81,
17,SK텔레콤,"317,000","3,000",-0.94%,500,"228,431","72,060",44.54,"131,388",12.03,6.44,
18,KB금융,"54,700",100,-0.18%,"5,000","227,447","415,808",68.23,"430,341",5.39,8.53,
19,크래프톤,"452,500","10,500",-2.27%,100,"221,505","48,951",6.12,"111,674",38.96,61.86,
20,LG생활건강,"1,335,000","11,000",-0.82%,"5,000","208,503","15,618",45.33,"10,564",28.03,17.92,
21,신한지주,"39,450",50,+0.13%,"5,000","203,799","516,600",60.79,"621,042",5.11,8.20,
22,LG전자,"121,500","2,000",-1.62%,"5,000","198,832","163,648",30.42,"536,119",14.70,13.23,
23,SK,"261,500",500,-0.19%,200,"183,992","70,360",19.65,"70,899",16.88,1.11,
24,SK바이오사이언스,"235,000","15,500",-6.19%,500,"179,775","76,500",5.47,"721,943",114.47,13.25,
25,한국전력,"23,150",150,-0.64%,"5,000","148,615","641,964",15.03,"921,435",12.47,2.91,
26,SK아이이테크놀로지,"204,000","8,000",-3.77%,"1,000","145,447","71,298",9.79,"242,306",134.12,11.00,
27,삼성생명,"72,200",800,+1.12%,500,"144,400","200,000",12.91,"147,910",8.24,3.53,
28,LG,"91,700","1,400",-1.50%,"5,000","144,245","157,301",33.69,"85,995",5.74,7.50,
29,하나금융지주,"45,300",200,+0.44%,"5,000","136,010","300,242",68.36,"387,658",4.47,8.96,
30,포스코케미칼,"169,000","7,000",-3.98%,500,"130,913","77,463",8.08,"469,440",122.11,2.96,
31,S-Oil,"112,500",0,0.00%,"2,500","126,656","112,583",78.30,"137,237",14.47,-13.07,
32,엔씨소프트,"566,000","3,000",+0.53%,500,"124,260","21,954",45.16,"88,909",30.38,20.83,
33,삼성전기,"164,000","2,000",-1.20%,"5,000","122,498","74,694",32.73,"145,953",14.30,10.92,
34,삼성에스디에스,"156,500",0,0.00%,500,"121,096","77,378",11.46,"39,651",18.79,6.71,
35,HMM,"29,050","1,250",-4.13%,"5,000","117,767","405,392",10.21,"3,865,396",18.40,8.93,
36,삼성화재,"245,500","5,500",+2.29%,500,"116,305","47,375",48.80,"59,367",11.63,4.96,
37,하이브,"287,000","6,000",-2.05%,500,"112,076","39,051",16.03,"120,711",102.10,12.52,
38,KT&G,"80,600",100,-0.12%,"5,000","110,658","137,292",36.81,"131,817",9.99,13.22,
